t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz,C11,C12,C44,surrogate_method
0.115714,1.0357,10.0,5,SC,0.375673,0.316674,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,1.0357,10.0,5,SC,0.383619,0.313278,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,1.0357,10.0,5,SC,0.390132,0.310533,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,1.0357,10.0,5,SC,0.395298,0.308442,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,1.0357,10.0,5,SC,0.399207,0.307004,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,1.0357,10.0,5,SC,0.401945,0.306215,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,1.0357,10.0,5,SC,0.403586,0.306073,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,1.2143,10.0,5,SC,0.205251,0.322964,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,1.2143,10.0,5,SC,0.216205,0.333305,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,1.2143,10.0,5,SC,0.225898,0.340257,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,1.2143,10.0,5,SC,0.234526,0.344815,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,1.2143,10.0,5,SC,0.242225,0.347748,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,1.2143,10.0,5,SC,0.249089,0.349638,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,1.2143,10.0,5,SC,0.255185,0.350921,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,1.2143,10.0,5,SC,0.26056,0.351917,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,1.2143,10.0,5,SC,0.26525,0.352864,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,1.2143,10.0,5,SC,0.269289,0.353938,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,1.2143,10.0,5,SC,0.272707,0.355271,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,1.2143,10.0,5,SC,0.275538,0.356965,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,1.2143,10.0,5,SC,0.27782,0.359098,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,1.2143,10.0,5,SC,0.279596,0.361733,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,1.2143,10.0,5,SC,0.280912,0.364925,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,1.3929,10.0,5,SC,0.167893,0.274192,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
