t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz
0.03,0.8571,20.0,5,FCC_face,0.475005,0.230793
0.03,0.8571,20.0,10,FCC_face,0.62347,0.393664
0.03,0.8571,20.0,15,FCC_face,0.688429,0.517107
0.03,0.8571,20.0,20,FCC_face,0.707991,0.611201
0.03,0.8571,23.3333,5,FCC_face,0.511057,0.688873
0.03,0.8571,23.3333,10,FCC_face,0.634696,0.803965
0.03,0.8571,23.3333,15,FCC_face,0.643795,0.576099
0.03,0.8571,23.3333,20,FCC_face,0.655022,0.618761
0.03,0.8571,26.6667,5,FCC_face,0.492212,0.474296
0.03,0.8571,26.6667,10,FCC_face,0.547339,0.71069
0.03,0.8571,26.6667,15,FCC_face,0.565711,0.552173
0.03,0.8571,26.6667,20,FCC_face,0.568634,0.659402
0.03,0.8571,30.0,5,FCC_face,0.4057,0.437493
0.03,0.8571,30.0,10,FCC_face,0.424899,0.552647
0.03,0.8571,30.0,15,FCC_face,0.427728,0.56753
0.03,0.8571,30.0,20,FCC_face,0.428179,0.565889
0.03,0.8571,33.3333,5,FCC_face,0.311299,0.422309
0.03,0.8571,33.3333,10,FCC_face,0.309507,0.496859
0.03,0.8571,33.3333,15,FCC_face,0.309957,0.472159
0.03,0.8571,33.3333,20,FCC_face,0.310716,0.480295
0.03,0.8571,36.6667,5,FCC_face,0.21784,0.410623
0.03,0.8571,36.6667,10,FCC_face,0.224748,0.36286
0.03,0.8571,36.6667,15,FCC_face,0.225001,0.36309
0.03,0.8571,36.6667,20,FCC_face,0.224919,0.363533
0.03,0.8571,40.0,5,FCC_face,0.157967,0.181242
0.03,0.8571,40.0,10,FCC_face,0.161748,0.180205
0.03,0.8571,40.0,15,FCC_face,0.162221,0.180202
0.03,0.8571,40.0,20,FCC_face,0.162132,0.180202
0.03,1.0357,13.3333,5,FCC_face,0.246956,0.347779
0.03,1.0357,13.3333,10,FCC_face,0.403853,0.232915
0.03,1.0357,13.3333,15,FCC_face,0.482204,0.465499
0.03,1.0357,13.3333,20,FCC_face,0.555159,0.524074
0.03,1.0357,16.6667,5,FCC_face,0.303154,0.386929
0.03,1.0357,16.6667,10,FCC_face,0.484607,0.396238
0.03,1.0357,16.6667,15,FCC_face,0.607362,0.403566
0.03,1.0357,16.6667,20,FCC_face,0.685326,0.982097
0.03,1.0357,20.0,5,FCC_face,0.445654,0.216495
0.03,1.0357,20.0,10,FCC_face,0.566402,0.543733
0.03,1.0357,20.0,15,FCC_face,0.671688,0.96796
0.03,1.0357,20.0,20,FCC_face,0.711775,0.868884
0.03,1.0357,23.3333,5,FCC_face,0.452132,0.256363
0.03,1.0357,23.3333,10,FCC_face,0.633785,0.534982
0.03,1.0357,23.3333,15,FCC_face,0.671368,0.764256
0.03,1.0357,23.3333,20,FCC_face,0.710746,0.869195
0.03,1.0357,26.6667,5,FCC_face,0.477722,0.994862
0.03,1.0357,26.6667,10,FCC_face,0.617416,0.46749
0.03,1.0357,26.6667,15,FCC_face,0.647728,0.634386
0.03,1.0357,26.6667,20,FCC_face,0.654442,0.779077
0.03,1.0357,30.0,5,FCC_face,0.477028,0.336235
0.03,1.0357,30.0,10,FCC_face,0.536834,0.803059
0.03,1.0357,30.0,15,FCC_face,0.558407,0.653799
0.03,1.0357,30.0,20,FCC_face,0.56666,0.588853
0.03,1.0357,33.3333,5,FCC_face,0.395653,0.551663
0.03,1.0357,33.3333,10,FCC_face,0.424033,0.689796
0.03,1.0357,33.3333,15,FCC_face,0.429309,0.637992
0.03,1.0357,33.3333,20,FCC_face,0.430235,0.598797
0.03,1.0357,36.6667,5,FCC_face,0.313336,0.384654
0.03,1.0357,36.6667,10,FCC_face,0.315884,0.561128
0.03,1.0357,36.6667,15,FCC_face,0.318286,0.487716
0.03,1.0357,36.6667,20,FCC_face,0.320041,0.51009
0.03,1.0357,40.0,5,FCC_face,0.22499,0.488103
0.03,1.0357,40.0,10,FCC_face,0.236591,0.398146
0.03,1.0357,40.0,15,FCC_face,0.237906,0.394917
0.03,1.0357,40.0,20,FCC_face,0.237616,0.39697
0.03,1.2143,16.6667,5,FCC_face,0.234133,0.375295
0.03,1.2143,16.6667,10,FCC_face,0.370445,0.22647
0.03,1.2143,16.6667,15,FCC_face,0.495266,0.51842
0.03,1.2143,16.6667,20,FCC_face,0.607891,0.515476
0.03,1.2143,20.0,5,FCC_face,0.374043,0.227269
0.03,1.2143,20.0,10,FCC_face,0.470842,0.805388
0.03,1.2143,20.0,15,FCC_face,0.626286,0.574644
0.03,1.2143,20.0,20,FCC_face,0.674219,0.445623
0.03,1.2143,23.3333,5,FCC_face,0.381032,0.178411
0.03,1.2143,23.3333,10,FCC_face,0.560749,0.315784
0.03,1.2143,23.3333,15,FCC_face,0.659558,0.428843
0.03,1.2143,23.3333,20,FCC_face,0.707995,0.525615
0.03,1.2143,26.6667,5,FCC_face,0.45931,0.448672
0.03,1.2143,26.6667,10,FCC_face,0.615393,0.982623
0.03,1.2143,26.6667,15,FCC_face,0.664781,0.657667
0.03,1.2143,26.6667,20,FCC_face,0.702283,0.559526
0.03,1.2143,30.0,5,FCC_face,0.48429,0.657779
0.03,1.2143,30.0,10,FCC_face,0.593541,0.433887
0.03,1.2143,30.0,15,FCC_face,0.641779,0.803592
0.03,1.2143,30.0,20,FCC_face,0.650876,0.601006
0.03,1.2143,33.3333,5,FCC_face,0.449661,0.270544
0.03,1.2143,33.3333,10,FCC_face,0.512714,0.507553
0.03,1.2143,33.3333,15,FCC_face,0.534082,0.717824
0.03,1.2143,33.3333,20,FCC_face,0.543307,0.730742
0.03,1.2143,36.6667,5,FCC_face,0.376909,0.825055
0.03,1.2143,36.6667,10,FCC_face,0.411601,0.682003
0.03,1.2143,36.6667,15,FCC_face,0.418785,0.552983
0.03,1.2143,36.6667,20,FCC_face,0.420132,0.563055
0.03,1.2143,40.0,5,FCC_face,0.303826,0.32429
0.03,1.2143,40.0,10,FCC_face,0.3103,0.585535
0.03,1.2143,40.0,15,FCC_face,0.316597,0.523774
0.03,1.2143,40.0,20,FCC_face,0.319539,0.510311
0.03,1.3929,20.0,5,FCC_face,0.278974,0.236953
0.03,1.3929,20.0,10,FCC_face,0.420342,0.610054
0.03,1.3929,20.0,15,FCC_face,0.526461,0.320881
0.03,1.3929,20.0,20,FCC_face,0.635479,0.519058
0.03,1.3929,23.3333,5,FCC_face,0.348484,0.161286
0.03,1.3929,23.3333,10,FCC_face,0.515233,0.347182
0.03,1.3929,23.3333,15,FCC_face,0.627899,0.628263
0.03,1.3929,23.3333,20,FCC_face,0.670769,0.935027
0.03,1.3929,26.6667,5,FCC_face,0.391264,0.218466
0.03,1.3929,26.6667,10,FCC_face,0.584898,0.524295
0.03,1.3929,26.6667,15,FCC_face,0.645043,0.845755
0.03,1.3929,26.6667,20,FCC_face,0.710319,0.984954
0.03,1.3929,30.0,5,FCC_face,0.422897,0.871077
0.03,1.3929,30.0,10,FCC_face,0.602919,0.452171
0.03,1.3929,30.0,15,FCC_face,0.660542,0.517184
0.03,1.3929,30.0,20,FCC_face,0.684902,0.934029
0.03,1.3929,33.3333,5,FCC_face,0.460779,0.356412
