t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz
0.072857,0.6786,10.0,20,FCC_face,0.69036,0.605026
0.072857,0.6786,13.3333,5,FCC_face,0.565419,0.34862
0.072857,0.6786,13.3333,10,FCC_face,0.581783,0.938134
0.072857,0.6786,13.3333,15,FCC_face,0.662015,0.646496
0.072857,0.6786,13.3333,20,FCC_face,0.666711,0.553712
0.072857,0.6786,16.6667,5,FCC_face,0.498744,0.373128
0.072857,0.6786,16.6667,10,FCC_face,0.575326,0.660182
0.072857,0.6786,16.6667,15,FCC_face,0.573423,0.685339
0.072857,0.6786,16.6667,20,FCC_face,0.582961,0.636508
0.072857,0.6786,20.0,5,FCC_face,0.431434,0.454161
0.072857,0.6786,20.0,10,FCC_face,0.456205,0.560228
0.072857,0.6786,20.0,15,FCC_face,0.46237,0.492559
0.072857,0.6786,20.0,20,FCC_face,0.462703,0.52346
0.072857,0.6786,23.3333,5,FCC_face,0.306124,0.519011
0.072857,0.6786,23.3333,10,FCC_face,0.305441,0.430982
0.072857,0.6786,23.3333,15,FCC_face,0.304487,0.42014
0.072857,0.6786,23.3333,20,FCC_face,0.30424,0.422545
0.072857,0.6786,26.6667,5,FCC_face,0.192365,0.311283
0.072857,0.6786,26.6667,10,FCC_face,0.193239,0.300526
0.072857,0.6786,26.6667,15,FCC_face,0.193528,0.299677
0.072857,0.6786,26.6667,20,FCC_face,0.19346,0.299635
0.072857,0.6786,30.0,5,FCC_face,0.122231,0.128128
0.072857,0.6786,30.0,10,FCC_face,0.122888,0.128072
0.072857,0.6786,30.0,15,FCC_face,0.122987,0.128072
0.072857,0.6786,30.0,20,FCC_face,0.12299,0.128072
0.072857,0.6786,33.3333,5,FCC_face,0.078108,0.062285
0.072857,0.6786,33.3333,10,FCC_face,0.077894,0.062285
0.072857,0.6786,33.3333,15,FCC_face,0.077906,0.062285
0.072857,0.6786,33.3333,20,FCC_face,0.077906,0.062285
0.072857,0.6786,36.6667,5,FCC_face,0.049374,0.040393
0.072857,0.6786,36.6667,10,FCC_face,0.049373,0.040393
0.072857,0.6786,36.6667,15,FCC_face,0.049373,0.040393
0.072857,0.6786,36.6667,20,FCC_face,0.049373,0.040393
0.072857,0.6786,40.0,5,FCC_face,0.032242,0.029034
0.072857,0.6786,40.0,10,FCC_face,0.032244,0.029034
0.072857,0.6786,40.0,15,FCC_face,0.032244,0.029034
0.072857,0.6786,40.0,20,FCC_face,0.032244,0.029034
0.072857,0.8571,13.3333,5,FCC_face,0.383298,0.485351
0.072857,0.8571,13.3333,10,FCC_face,0.545102,0.450424
0.072857,0.8571,13.3333,15,FCC_face,0.649675,0.454597
0.072857,0.8571,13.3333,20,FCC_face,0.705457,0.972231
0.072857,0.8571,16.6667,5,FCC_face,0.4828,0.220269
0.072857,0.8571,16.6667,10,FCC_face,0.599455,0.399453
0.072857,0.8571,16.6667,15,FCC_face,0.656632,0.5645
0.072857,0.8571,16.6667,20,FCC_face,0.661259,0.691841
0.072857,0.8571,20.0,5,FCC_face,0.474243,0.777898
0.072857,0.8571,20.0,10,FCC_face,0.577088,0.64393
0.072857,0.8571,20.0,15,FCC_face,0.580475,0.505784
0.072857,0.8571,20.0,20,FCC_face,0.584417,0.608895
0.072857,0.8571,23.3333,5,FCC_face,0.423276,0.31938
0.072857,0.8571,23.3333,10,FCC_face,0.451056,0.59377
0.072857,0.8571,23.3333,15,FCC_face,0.459287,0.574674
0.072857,0.8571,23.3333,20,FCC_face,0.462014,0.527193
0.072857,0.8571,26.6667,5,FCC_face,0.309944,0.608638
0.072857,0.8571,26.6667,10,FCC_face,0.311919,0.424136
0.072857,0.8571,26.6667,15,FCC_face,0.310654,0.44718
0.072857,0.8571,26.6667,20,FCC_face,0.310342,0.453832
0.072857,0.8571,30.0,5,FCC_face,0.202032,0.366959
0.072857,0.8571,30.0,10,FCC_face,0.205107,0.336486
0.072857,0.8571,30.0,15,FCC_face,0.206045,0.332031
0.072857,0.8571,30.0,20,FCC_face,0.20576,0.331661
0.072857,0.8571,33.3333,5,FCC_face,0.133094,0.142257
0.072857,0.8571,33.3333,10,FCC_face,0.135447,0.141817
0.072857,0.8571,33.3333,15,FCC_face,0.135839,0.141817
0.072857,0.8571,33.3333,20,FCC_face,0.135807,0.141817
0.072857,0.8571,36.6667,5,FCC_face,0.08991,0.062266
0.072857,0.8571,36.6667,10,FCC_face,0.088637,0.062266
0.072857,0.8571,36.6667,15,FCC_face,0.088611,0.062266
0.072857,0.8571,36.6667,20,FCC_face,0.088618,0.062266
0.072857,0.8571,40.0,5,FCC_face,0.056597,0.04005
0.072857,0.8571,40.0,10,FCC_face,0.056995,0.04005
0.072857,0.8571,40.0,15,FCC_face,0.056992,0.04005
0.072857,0.8571,40.0,20,FCC_face,0.056991,0.04005
0.072857,1.0357,13.3333,5,FCC_face,0.301262,0.541183
0.072857,1.0357,13.3333,10,FCC_face,0.438073,0.236475
0.072857,1.0357,13.3333,15,FCC_face,0.542706,0.768992
0.072857,1.0357,13.3333,20,FCC_face,0.641017,0.440124
0.072857,1.0357,16.6667,5,FCC_face,0.467425,0.236015
0.072857,1.0357,16.6667,10,FCC_face,0.52839,0.766003
0.072857,1.0357,16.6667,15,FCC_face,0.66193,0.861523
0.072857,1.0357,16.6667,20,FCC_face,0.681094,0.548963
0.072857,1.0357,20.0,5,FCC_face,0.448949,0.251558
0.072857,1.0357,20.0,10,FCC_face,0.606323,0.530868
0.072857,1.0357,20.0,15,FCC_face,0.628392,0.743433
0.072857,1.0357,20.0,20,FCC_face,0.659989,0.814795
0.072857,1.0357,23.3333,5,FCC_face,0.466431,0.808053
0.072857,1.0357,23.3333,10,FCC_face,0.55313,0.399161
0.072857,1.0357,23.3333,15,FCC_face,0.576406,0.758806
0.072857,1.0357,23.3333,20,FCC_face,0.577139,0.551681
0.072857,1.0357,26.6667,5,FCC_face,0.398334,0.282472
0.072857,1.0357,26.6667,10,FCC_face,0.4282,0.419719
0.072857,1.0357,26.6667,15,FCC_face,0.435621,0.503805
0.072857,1.0357,26.6667,20,FCC_face,0.438172,0.544121
0.072857,1.0357,30.0,5,FCC_face,0.299443,0.48018
0.072857,1.0357,30.0,10,FCC_face,0.302236,0.426449
0.072857,1.0357,30.0,15,FCC_face,0.301773,0.477305
0.072857,1.0357,30.0,20,FCC_face,0.302447,0.458582
0.072857,1.0357,33.3333,5,FCC_face,0.198231,0.414138
0.072857,1.0357,33.3333,10,FCC_face,0.206796,0.343653
0.072857,1.0357,33.3333,15,FCC_face,0.207685,0.341172
0.072857,1.0357,33.3333,20,FCC_face,0.207412,0.342388
0.072857,1.0357,36.6667,5,FCC_face,0.136649,0.138894
0.072857,1.0357,36.6667,10,FCC_face,0.140273,0.138232
0.072857,1.0357,36.6667,15,FCC_face,0.141195,0.138234
0.072857,1.0357,36.6667,20,FCC_face,0.141123,0.138234
0.072857,1.0357,40.0,5,FCC_face,0.096785,0.059107
0.072857,1.0357,40.0,10,FCC_face,0.094739,0.059108
0.072857,1.0357,40.0,15,FCC_face,0.09455,0.059108
0.072857,1.0357,40.0,20,FCC_face,0.094548,0.059108
0.072857,1.2143,16.6667,5,FCC_face,0.358427,0.275318
0.072857,1.2143,16.6667,10,FCC_face,0.487953,0.785637
0.072857,1.2143,16.6667,15,FCC_face,0.589365,0.364798
0.072857,1.2143,16.6667,20,FCC_face,0.681091,0.543447
0.072857,1.2143,20.0,5,FCC_face,0.395121,0.173318
0.072857,1.2143,20.0,10,FCC_face,0.558733,0.309467
0.072857,1.2143,20.0,15,FCC_face,0.645078,0.428159
0.072857,1.2143,20.0,20,FCC_face,0.679446,0.535645
0.072857,1.2143,23.3333,5,FCC_face,0.447059,0.625587
0.072857,1.2143,23.3333,10,FCC_face,0.598623,0.761094
0.072857,1.2143,23.3333,15,FCC_face,0.620526,0.488245
0.072857,1.2143,23.3333,20,FCC_face,0.640844,0.566839
0.072857,1.2143,26.6667,5,FCC_face,0.447581,0.362425
0.072857,1.2143,26.6667,10,FCC_face,0.519041,0.793933
0.072857,1.2143,26.6667,15,FCC_face,0.549772,0.483387
0.072857,1.2143,26.6667,20,FCC_face,0.55878,0.660023
0.072857,1.2143,30.0,5,FCC_face,0.367973,0.427844
0.072857,1.2143,30.0,10,FCC_face,0.399319,0.611185
0.072857,1.2143,30.0,15,FCC_face,0.406507,0.615727
0.072857,1.2143,30.0,20,FCC_face,0.408317,0.588227
0.072857,1.2143,33.3333,5,FCC_face,0.280795,0.31309
0.072857,1.2143,33.3333,10,FCC_face,0.282467,0.538749
0.072857,1.2143,33.3333,15,FCC_face,0.286107,0.448432
0.072857,1.2143,33.3333,20,FCC_face,0.288398,0.464079
0.072857,1.2143,36.6667,5,FCC_face,0.187292,0.352443
0.072857,1.2143,36.6667,10,FCC_face,0.202682,0.325859
0.072857,1.2143,36.6667,15,FCC_face,0.202081,0.338334
0.072857,1.2143,36.6667,20,FCC_face,0.202805,0.336187
0.072857,1.2143,40.0,5,FCC_face,0.135803,0.118879
0.072857,1.2143,40.0,10,FCC_face,0.139567,0.118809
0.072857,1.2143,40.0,15,FCC_face,0.141098,0.11881
0.072857,1.2143,40.0,20,FCC_face,0.141201,0.11881
0.072857,1.3929,20.0,5,FCC_face,0.376859,0.16556
0.072857,1.3929,20.0,10,FCC_face,0.520482,0.39798
0.072857,1.3929,20.0,15,FCC_face,0.617668,0.799175
0.072857,1.3929,20.0,20,FCC_face,0.660315,0.988901
0.072857,1.3929,23.3333,5,FCC_face,0.418012,0.242544
0.072857,1.3929,23.3333,10,FCC_face,0.579648,0.655024
0.072857,1.3929,23.3333,15,FCC_face,0.62317,0.965351
0.072857,1.3929,23.3333,20,FCC_face,0.680886,0.893226
0.072857,1.3929,26.6667,5,FCC_face,0.442691,0.823899
0.072857,1.3929,26.6667,10,FCC_face,0.569684,0.348566
0.072857,1.3929,26.6667,15,FCC_face,0.612559,0.873797
0.072857,1.3929,26.6667,20,FCC_face,0.621929,0.553913
0.072857,1.3929,30.0,5,FCC_face,0.416748,0.235462
0.072857,1.3929,30.0,10,FCC_face,0.477688,0.484943
0.072857,1.3929,30.0,15,FCC_face,0.499726,0.725125
0.072857,1.3929,30.0,20,FCC_face,0.509994,0.693099
0.072857,1.3929,33.3333,5,FCC_face,0.3373,0.891896
0.072857,1.3929,33.3333,10,FCC_face,0.367795,0.528133
0.072857,1.3929,33.3333,15,FCC_face,0.373716,0.471792
0.072857,1.3929,33.3333,20,FCC_face,0.374691,0.546851
0.072857,1.3929,36.6667,5,FCC_face,0.255939,0.277531
0.072857,1.3929,36.6667,10,FCC_face,0.260962,0.3939
0.072857,1.3929,36.6667,15,FCC_face,0.269364,0.458007
0.072857,1.3929,36.6667,20,FCC_face,0.271041,0.465183
0.072857,1.3929,40.0,5,FCC_face,0.174561,0.254291
0.072857,1.3929,40.0,10,FCC_face,0.194775,0.323525
0.072857,1.3929,40.0,15,FCC_face,0.192714,0.312569
0.072857,1.3929,40.0,20,FCC_face,0.194311,0.313336
0.072857,1.5714,20.0,5,FCC_face,0.338356,0.173131
0.072857,1.5714,20.0,10,FCC_face,0.425371,0.615605
0.072857,1.5714,20.0,15,FCC_face,0.581313,0.76832
0.072857,1.5714,20.0,20,FCC_face,0.629717,0.454479
0.072857,1.5714,23.3333,5,FCC_face,0.332007,0.156754
0.072857,1.5714,23.3333,10,FCC_face,0.524374,0.293296
0.072857,1.5714,23.3333,15,FCC_face,0.616124,0.409073
0.072857,1.5714,23.3333,20,FCC_face,0.678525,0.504492
0.072857,1.5714,26.6667,5,FCC_face,0.400868,0.705566
0.072857,1.5714,26.6667,10,FCC_face,0.579403,0.555626
0.072857,1.5714,26.6667,15,FCC_face,0.628192,0.414525
0.072857,1.5714,26.6667,20,FCC_face,0.654069,0.709436
0.072857,1.5714,30.0,5,FCC_face,0.430812,0.329176
0.072857,1.5714,30.0,10,FCC_face,0.530818,0.812194
0.072857,1.5714,30.0,15,FCC_face,0.580196,0.4481
0.072857,1.5714,30.0,20,FCC_face,0.598475,0.753293
0.072857,1.5714,33.3333,5,FCC_face,0.377011,0.290126
0.072857,1.5714,33.3333,10,FCC_face,0.433215,0.451409
0.072857,1.5714,33.3333,15,FCC_face,0.452019,0.531573
0.072857,1.5714,33.3333,20,FCC_face,0.459325,0.570461
0.072857,1.5714,36.6667,5,FCC_face,0.307321,0.48956
0.072857,1.5714,36.6667,10,FCC_face,0.331375,0.424938
0.072857,1.5714,36.6667,15,FCC_face,0.335877,0.595087
0.072857,1.5714,36.6667,20,FCC_face,0.33945,0.503165
0.072857,1.5714,40.0,5,FCC_face,0.226204,0.479559
0.072857,1.5714,40.0,10,FCC_face,0.242381,0.486085
0.072857,1.5714,40.0,15,FCC_face,0.25157,0.460066
0.072857,1.5714,40.0,20,FCC_face,0.250296,0.446868
0.072857,1.75,23.3333,5,FCC_face,0.305262,0.13275
0.072857,1.75,23.3333,10,FCC_face,0.476111,0.247958
0.072857,1.75,23.3333,15,FCC_face,0.591622,0.365025
0.072857,1.75,23.3333,20,FCC_face,0.651061,0.493486
0.072857,1.75,26.6667,5,FCC_face,0.385044,0.303685
0.072857,1.75,26.6667,10,FCC_face,0.539368,0.96008
0.072857,1.75,26.6667,15,FCC_face,0.617596,0.710422
0.072857,1.75,26.6667,20,FCC_face,0.670038,0.517172
0.072857,1.75,30.0,5,FCC_face,0.42237,0.621968
0.072857,1.75,30.0,10,FCC_face,0.551469,0.325819
0.072857,1.75,30.0,15,FCC_face,0.616578,0.919629
0.072857,1.75,30.0,20,FCC_face,0.637846,0.495967
0.072857,1.75,33.3333,5,FCC_face,0.404564,0.20733
0.072857,1.75,33.3333,10,FCC_face,0.486561,0.464011
0.072857,1.75,33.3333,15,FCC_face,0.520963,0.806954
0.072857,1.75,33.3333,20,FCC_face,0.538762,0.7696
0.072857,1.75,36.6667,5,FCC_face,0.340798,0.792074
0.072857,1.75,36.6667,10,FCC_face,0.392317,0.738355
0.072857,1.75,36.6667,15,FCC_face,0.408707,0.525982
0.072857,1.75,36.6667,20,FCC_face,0.414305,0.51582
0.072857,1.75,40.0,5,FCC_face,0.276863,0.25564
0.072857,1.75,40.0,10,FCC_face,0.292412,0.630695
0.072857,1.75,40.0,15,FCC_face,0.304433,0.526639
0.072857,1.75,40.0,20,FCC_face,0.310782,0.487427
0.072857,1.9286,23.3333,5,FCC_face,0.284385,0.12605
0.072857,1.9286,23.3333,10,FCC_face,0.440577,0.282197
0.072857,1.9286,23.3333,15,FCC_face,0.552562,0.549681
0.072857,1.9286,23.3333,20,FCC_face,0.602863,0.897359
0.072857,1.9286,26.6667,5,FCC_face,0.331677,0.175363
0.072857,1.9286,26.6667,10,FCC_face,0.515599,0.463598
0.072857,1.9286,26.6667,15,FCC_face,0.583603,0.83292
0.072857,1.9286,26.6667,20,FCC_face,0.663055,0.999765
0.072857,1.9286,30.0,5,FCC_face,0.360971,0.813702
0.072857,1.9286,30.0,10,FCC_face,0.542842,0.345172
0.072857,1.9286,30.0,15,FCC_face,0.615626,0.489188
0.072857,1.9286,30.0,20,FCC_face,0.649939,0.928912
0.072857,1.9286,33.3333,5,FCC_face,0.409669,0.25745
0.072857,1.9286,33.3333,10,FCC_face,0.521254,0.985968
0.072857,1.9286,33.3333,15,FCC_face,0.579585,0.454882
0.072857,1.9286,33.3333,20,FCC_face,0.609091,0.59959
0.072857,1.9286,36.6667,5,FCC_face,0.364686,0.262467
0.072857,1.9286,36.6667,10,FCC_face,0.437801,0.42928
0.072857,1.9286,36.6667,15,FCC_face,0.466782,0.525949
0.072857,1.9286,36.6667,20,FCC_face,0.479839,0.579677
0.072857,1.9286,40.0,5,FCC_face,0.307998,0.60745
0.072857,1.9286,40.0,10,FCC_face,0.350597,0.364945
0.072857,1.9286,40.0,15,FCC_face,0.361351,0.717674
0.072857,1.9286,40.0,20,FCC_face,0.367122,0.528084
0.072857,2.1071,26.6667,5,FCC_face,0.267036,0.129652
0.072857,2.1071,26.6667,10,FCC_face,0.458544,0.256399
0.072857,2.1071,26.6667,15,FCC_face,0.563728,0.379515
0.072857,2.1071,26.6667,20,FCC_face,0.641896,0.496515
0.072857,2.1071,30.0,5,FCC_face,0.341752,0.473336
0.072857,2.1071,30.0,10,FCC_face,0.532306,0.603513
0.072857,2.1071,30.0,15,FCC_face,0.598288,0.372273
0.072857,2.1071,30.0,20,FCC_face,0.651008,0.518541
0.072857,2.1071,33.3333,5,FCC_face,0.394564,0.399206
0.072857,2.1071,33.3333,10,FCC_face,0.526964,0.39889
0.072857,2.1071,33.3333,15,FCC_face,0.607379,0.552376
0.072857,2.1071,33.3333,20,FCC_face,0.638733,0.695648
0.072857,2.1071,36.6667,5,FCC_face,0.380923,0.184485
0.072857,2.1071,36.6667,10,FCC_face,0.474748,0.362391
0.072857,2.1071,36.6667,15,FCC_face,0.517427,0.632459
0.072857,2.1071,36.6667,20,FCC_face,0.540155,0.850604
0.072857,2.1071,40.0,5,FCC_face,0.329005,0.801283
0.072857,2.1071,40.0,10,FCC_face,0.394332,0.749178
0.072857,2.1071,40.0,15,FCC_face,0.419249,0.506666
0.072857,2.1071,40.0,20,FCC_face,0.429593,0.505679
0.072857,2.2857,30.0,5,FCC_face,0.322645,0.255011
0.072857,2.2857,30.0,10,FCC_face,0.476282,0.85534
0.072857,2.2857,30.0,15,FCC_face,0.576509,0.610598
0.072857,2.2857,30.0,20,FCC_face,0.643379,0.444705
0.072857,2.2857,33.3333,5,FCC_face,0.360475,0.621887
0.072857,2.2857,33.3333,10,FCC_face,0.525435,0.265581
0.072857,2.2857,33.3333,15,FCC_face,0.606417,0.96587
0.072857,2.2857,33.3333,20,FCC_face,0.64357,0.47241
0.072857,2.2857,36.6667,5,FCC_face,0.387726,0.19722
0.072857,2.2857,36.6667,10,FCC_face,0.501496,0.79417
0.072857,2.2857,36.6667,15,FCC_face,0.562119,0.697932
0.072857,2.2857,36.6667,20,FCC_face,0.59914,0.475182
0.072857,2.2857,40.0,5,FCC_face,0.343812,0.28354
0.072857,2.2857,40.0,10,FCC_face,0.426905,0.527919
0.072857,2.2857,40.0,15,FCC_face,0.463545,0.685754
0.072857,2.2857,40.0,20,FCC_face,0.481581,0.755994
0.072857,2.4643,30.0,5,FCC_face,0.288374,0.164249
0.072857,2.4643,30.0,10,FCC_face,0.449156,0.520538
0.072857,2.4643,30.0,15,FCC_face,0.531909,0.901202
0.072857,2.4643,30.0,20,FCC_face,0.630064,0.80767
0.072857,2.4643,33.3333,5,FCC_face,0.307505,0.66096
0.072857,2.4643,33.3333,10,FCC_face,0.493033,0.301151
0.072857,2.4643,33.3333,15,FCC_face,0.584566,0.427056
0.072857,2.4643,33.3333,20,FCC_face,0.636165,0.954806
0.072857,2.4643,36.6667,5,FCC_face,0.364319,0.254611
0.072857,2.4643,36.6667,10,FCC_face,0.50451,0.739584
0.072857,2.4643,36.6667,15,FCC_face,0.587392,0.368601
0.072857,2.4643,36.6667,20,FCC_face,0.630005,0.848791
0.072857,2.4643,40.0,5,FCC_face,0.353683,0.176846
0.072857,2.4643,40.0,10,FCC_face,0.453027,0.297414
0.072857,2.4643,40.0,15,FCC_face,0.501087,0.418848
0.072857,2.4643,40.0,20,FCC_face,0.527178,0.554391
0.072857,2.6429,33.3333,5,FCC_face,0.289476,0.444473
0.072857,2.6429,33.3333,10,FCC_face,0.478085,0.444985
0.072857,2.6429,33.3333,15,FCC_face,0.564493,0.313023
0.072857,2.6429,33.3333,20,FCC_face,0.621764,0.586894
0.072857,2.6429,36.6667,5,FCC_face,0.351668,0.357939
0.072857,2.6429,36.6667,10,FCC_face,0.490621,0.328556
0.072857,2.6429,36.6667,15,FCC_face,0.591275,0.551041
0.072857,2.6429,36.6667,20,FCC_face,0.634914,0.601074
0.072857,2.6429,40.0,5,FCC_face,0.358773,0.161371
0.072857,2.6429,40.0,10,FCC_face,0.473514,0.414797
0.072857,2.6429,40.0,15,FCC_face,0.534338,0.927248
0.072857,2.6429,40.0,20,FCC_face,0.571543,0.80955
0.072857,2.8214,36.6667,5,FCC_face,0.32099,0.490942
0.072857,2.8214,36.6667,10,FCC_face,0.482642,0.234388
0.072857,2.8214,36.6667,15,FCC_face,0.575278,0.961719
0.072857,2.8214,36.6667,20,FCC_face,0.626305,0.405705
0.072857,2.8214,40.0,5,FCC_face,0.3554,0.177694
0.072857,2.8214,40.0,10,FCC_face,0.483148,0.835305
0.072857,2.8214,40.0,15,FCC_face,0.559145,0.558212
0.072857,2.8214,40.0,20,FCC_face,0.608918,0.431621
0.072857,3.0,36.6667,5,FCC_face,0.268943,0.55201
0.072857,3.0,36.6667,10,FCC_face,0.447382,0.235684
0.072857,3.0,36.6667,15,FCC_face,0.5506,0.525951
0.072857,3.0,36.6667,20,FCC_face,0.611863,0.661733
0.072857,3.0,40.0,5,FCC_face,0.325495,0.215768
0.072857,3.0,40.0,10,FCC_face,0.473964,0.719509
0.072857,3.0,40.0,15,FCC_face,0.5675,0.331594
0.072857,3.0,40.0,20,FCC_face,0.621996,0.775363
0.083571,0.5,10.0,5,FCC_face,0.520001,0.67448
0.083571,0.5,10.0,10,FCC_face,0.590332,0.528543
0.083571,0.5,10.0,15,FCC_face,0.635114,0.562161
0.083571,0.5,10.0,20,FCC_face,0.651982,0.731384
0.083571,0.5,13.3333,5,FCC_face,0.482085,0.331299
0.083571,0.5,13.3333,10,FCC_face,0.528659,0.480653
0.083571,0.5,13.3333,15,FCC_face,0.529111,0.528807
0.083571,0.5,13.3333,20,FCC_face,0.531179,0.541872
0.083571,0.5,16.6667,5,FCC_face,0.385746,0.431976
0.083571,0.5,16.6667,10,FCC_face,0.395756,0.458042
0.083571,0.5,16.6667,15,FCC_face,0.397244,0.441825
0.083571,0.5,16.6667,20,FCC_face,0.397258,0.445949
0.083571,0.5,20.0,5,FCC_face,0.244038,0.356591
0.083571,0.5,20.0,10,FCC_face,0.241425,0.336307
0.083571,0.5,20.0,15,FCC_face,0.241263,0.337617
0.083571,0.5,20.0,20,FCC_face,0.241268,0.337562
0.083571,0.5,23.3333,5,FCC_face,0.142168,0.194708
0.083571,0.5,23.3333,10,FCC_face,0.142924,0.194613
0.083571,0.5,23.3333,15,FCC_face,0.142898,0.194614
0.083571,0.5,23.3333,20,FCC_face,0.142899,0.194614
0.083571,0.5,26.6667,5,FCC_face,0.085891,0.084824
0.083571,0.5,26.6667,10,FCC_face,0.085771,0.084824
0.083571,0.5,26.6667,15,FCC_face,0.08577,0.084824
0.083571,0.5,26.6667,20,FCC_face,0.08577,0.084824
0.083571,0.5,30.0,5,FCC_face,0.052648,0.049493
0.083571,0.5,30.0,10,FCC_face,0.052655,0.049493
0.083571,0.5,30.0,15,FCC_face,0.052655,0.049493
0.083571,0.5,30.0,20,FCC_face,0.052655,0.049493
0.083571,0.5,33.3333,5,FCC_face,0.034046,0.033375
0.083571,0.5,33.3333,10,FCC_face,0.034046,0.033375
0.083571,0.5,33.3333,15,FCC_face,0.034046,0.033375
0.083571,0.5,33.3333,20,FCC_face,0.034046,0.033375
0.083571,0.5,36.6667,5,FCC_face,0.023745,0.024139
0.083571,0.5,36.6667,10,FCC_face,0.023745,0.024139
0.083571,0.5,36.6667,15,FCC_face,0.023745,0.024139
0.083571,0.5,36.6667,20,FCC_face,0.023745,0.024139
0.083571,0.5,40.0,5,FCC_face,0.017578,0.018226
0.083571,0.5,40.0,10,FCC_face,0.017578,0.018226
0.083571,0.5,40.0,15,FCC_face,0.017578,0.018226
0.083571,0.5,40.0,20,FCC_face,0.017578,0.018226
0.083571,0.6786,10.0,5,FCC_face,0.437629,0.817682
0.083571,0.6786,10.0,10,FCC_face,0.585311,0.31006
0.083571,0.6786,10.0,15,FCC_face,0.636199,0.899365
0.083571,0.6786,10.0,20,FCC_face,0.695464,0.531645
0.083571,0.6786,13.3333,5,FCC_face,0.566489,0.310348
0.083571,0.6786,13.3333,10,FCC_face,0.572855,0.790294
0.083571,0.6786,13.3333,15,FCC_face,0.649088,0.781186
0.083571,0.6786,13.3333,20,FCC_face,0.646254,0.59187
0.083571,0.6786,16.6667,5,FCC_face,0.48826,0.485402
0.083571,0.6786,16.6667,10,FCC_face,0.552013,0.732969
0.083571,0.6786,16.6667,15,FCC_face,0.550546,0.609244
0.083571,0.6786,16.6667,20,FCC_face,0.555954,0.557417
0.083571,0.6786,20.0,5,FCC_face,0.402827,0.358089
0.083571,0.6786,20.0,10,FCC_face,0.419173,0.541035
0.083571,0.6786,20.0,15,FCC_face,0.423386,0.493531
0.083571,0.6786,20.0,20,FCC_face,0.424283,0.484613
0.083571,0.6786,23.3333,5,FCC_face,0.273462,0.445828
0.083571,0.6786,23.3333,10,FCC_face,0.269957,0.379327
0.083571,0.6786,23.3333,15,FCC_face,0.269197,0.391734
0.083571,0.6786,23.3333,20,FCC_face,0.269196,0.390285
0.083571,0.6786,26.6667,5,FCC_face,0.165728,0.256935
0.083571,0.6786,26.6667,10,FCC_face,0.168492,0.251687
0.083571,0.6786,26.6667,15,FCC_face,0.168273,0.251889
0.083571,0.6786,26.6667,20,FCC_face,0.168305,0.251885
0.083571,0.6786,30.0,5,FCC_face,0.105422,0.096111
0.083571,0.6786,30.0,10,FCC_face,0.105105,0.096105
0.083571,0.6786,30.0,15,FCC_face,0.105105,0.096105
0.083571,0.6786,30.0,20,FCC_face,0.105106,0.096105
0.083571,0.6786,33.3333,5,FCC_face,0.065249,0.051853
0.083571,0.6786,33.3333,10,FCC_face,0.065399,0.051853
0.083571,0.6786,33.3333,15,FCC_face,0.065398,0.051853
0.083571,0.6786,33.3333,20,FCC_face,0.065398,0.051853
0.083571,0.6786,36.6667,5,FCC_face,0.041012,0.034652
0.083571,0.6786,36.6667,10,FCC_face,0.040988,0.034652
0.083571,0.6786,36.6667,15,FCC_face,0.040988,0.034652
0.083571,0.6786,36.6667,20,FCC_face,0.040988,0.034652
0.083571,0.6786,40.0,5,FCC_face,0.027064,0.025207
0.083571,0.6786,40.0,10,FCC_face,0.027064,0.025207
0.083571,0.6786,40.0,15,FCC_face,0.027064,0.025207
0.083571,0.6786,40.0,20,FCC_face,0.027064,0.025207
0.083571,0.8571,13.3333,5,FCC_face,0.406489,0.43215
0.083571,0.8571,13.3333,10,FCC_face,0.562379,0.586681
0.083571,0.8571,13.3333,15,FCC_face,0.645178,0.414162
0.083571,0.8571,13.3333,20,FCC_face,0.693473,0.889172
0.083571,0.8571,16.6667,5,FCC_face,0.463294,0.218161
0.083571,0.8571,16.6667,10,FCC_face,0.585851,0.369251
0.083571,0.8571,16.6667,15,FCC_face,0.631535,0.478344
0.083571,0.8571,16.6667,20,FCC_face,0.644188,0.556756
0.083571,0.8571,20.0,5,FCC_face,0.457889,0.94475
0.083571,0.8571,20.0,10,FCC_face,0.548294,0.472806
0.083571,0.8571,20.0,15,FCC_face,0.556513,0.543806
0.083571,0.8571,20.0,20,FCC_face,0.55646,0.641714
0.083571,0.8571,23.3333,5,FCC_face,0.391776,0.29348
0.083571,0.8571,23.3333,10,FCC_face,0.411306,0.444607
0.083571,0.8571,23.3333,15,FCC_face,0.415869,0.514442
0.083571,0.8571,23.3333,20,FCC_face,0.417459,0.523018
0.083571,0.8571,26.6667,5,FCC_face,0.277584,0.416511
0.083571,0.8571,26.6667,10,FCC_face,0.274488,0.408985
0.083571,0.8571,26.6667,15,FCC_face,0.27396,0.417883
0.083571,0.8571,26.6667,20,FCC_face,0.274342,0.41595
0.083571,0.8571,30.0,5,FCC_face,0.173206,0.287532
0.083571,0.8571,30.0,10,FCC_face,0.179447,0.277952
0.083571,0.8571,30.0,15,FCC_face,0.178887,0.279262
0.083571,0.8571,30.0,20,FCC_face,0.17904,0.279175
0.083571,0.8571,33.3333,5,FCC_face,0.115681,0.098555
