t_over_L,rho,voxel_hash,C11,C12,C44,time_s,direct_solution,resolution,E,nu,lx,ly,lz,rho_liu,discretization_warning
0.03,0.241037,78347a83010b80e8c6e1877949591dd9,0.1393524158636813,0.06398860984094935,0.06419432954639825,78.5653,0,60,1.0,0.3,1.0,1.0,1.0,0.191799,True
0.0425,0.241037,78347a83010b80e8c6e1877949591dd9,0.1393524158636813,0.06398860984094935,0.06419432954639825,77.5328,0,60,1.0,0.3,1.0,1.0,1.0,0.263327,False
0.055,0.343407,a9ab811ad1a9daa45bc1e8cefd949468,0.21333242657595602,0.09606929570686996,0.09369094765692736,80.8173,0,60,1.0,0.3,1.0,1.0,1.0,0.32992,False
0.0675,0.434667,2bbe38c1e1868faf891f9251297672fa,0.29029082230367054,0.12787869381954287,0.12162040662193425,83.3222,0,60,1.0,0.3,1.0,1.0,1.0,0.391579,False
0.08,0.434667,2bbe38c1e1868faf891f9251297672fa,0.29029082230367054,0.12787869381954287,0.12162040662193425,85.5916,0,60,1.0,0.3,1.0,1.0,1.0,0.448304,False
0.0925,0.515556,bccf13fc07690c84fe45e9328139efab,0.37005994151287264,0.15924813961687304,0.14801479874352785,179.5497,0,60,1.0,0.3,1.0,1.0,1.0,0.500094,False
0.105,0.515556,bccf13fc07690c84fe45e9328139efab,0.37005994151287264,0.15924813961687304,0.14801479874352785,203.44,0,60,1.0,0.3,1.0,1.0,1.0,0.54695,False
0.1175,0.586815,dba848d79dd23a8b8a97161a8be440d3,0.4521515673360426,0.190094737190785,0.17289094094586982,215.1572,0,60,1.0,0.3,1.0,1.0,1.0,0.588872,False
