metric,v2 baseline,v3 (corrected),v4 single+refine,v4 ensemble+refine
tL_R2,0.998,0.9994,0.9992923799589597,0.999582258233228
d_R2,0.451,0.794,0.9476705764290778,0.9611877124488768
L_R2,0.507,0.903,0.9604843089856758,0.9643068122819101
T_R2,0.296,0.244,0.6664833357667048,0.6583776584940371
N_acc_pct,33.9,54.2,82.13627992633518,82.13627992633518
lt_acc_pct,83.8,99.6,99.53959484346224,99.60098219766728
alpha_R2_bandmean,0.828,0.984,0.9974950209126984,0.9995310569575482
alpha_MRE_bandmean_pct,28.8,7.6,2.6678969590224484,2.3820283805122533
alpha_R2_per_freq_mean,,0.801,0.9731099499646869,0.9960369671966878
