t_over_L_pred,d_mm_pred,L_mm_pred,N_pred,lt_pred,t_over_L_true,d_mm_true,L_mm_true,N_true,lt_true,band_mean_target,band_mean_verified,alpha_500hz_target,alpha_500hz_verified,alpha_600hz_target,alpha_600hz_verified,alpha_700hz_target,alpha_700hz_verified,alpha_800hz_target,alpha_800hz_verified,alpha_900hz_target,alpha_900hz_verified,alpha_1000hz_target,alpha_1000hz_verified,alpha_1100hz_target,alpha_1100hz_verified,alpha_1200hz_target,alpha_1200hz_verified,alpha_1300hz_target,alpha_1300hz_verified,alpha_1400hz_target,alpha_1400hz_verified,alpha_1500hz_target,alpha_1500hz_verified,alpha_1600hz_target,alpha_1600hz_verified,alpha_1700hz_target,alpha_1700hz_verified,alpha_1800hz_target,alpha_1800hz_verified,alpha_1900hz_target,alpha_1900hz_verified,alpha_2000hz_target,alpha_2000hz_verified
0.03115864284336567,1.73529851436615,36.45713806152344,20,SC,0.03,1.75,36.6667,20,SC,0.183439,0.18269759141752684,0.71326685,0.7175086145579512,0.55488986,0.5567589557882486,0.54257005,0.5358346294368533,0.48383078,0.4811030247187057,0.35613227,0.34820724507138234,0.11044569,0.1079094766037153,0.05970748,0.059319123508515315,0.043210424,0.043087388629422296,0.03430252,0.03425855961520463,0.02853309,0.02852137533711696,0.024426723,0.02443033832817265,0.021329228,0.021340760412738913,0.018898394,0.018914186561530433,0.016934885,0.016952985449366853,0.015313444,0.015332759453734579,0.0139508145,0.013970709285697547
0.062054090201854706,1.134318470954895,34.92797088623047,5,SC,0.062143,1.0357,33.3333,5,SC,0.052521,0.05201483933955304,0.32828382,0.3413683988006069,0.21836723,0.2189603743903542,0.09511484,0.08858324085388047,0.059088893,0.05500226997889923,0.04338764,0.04044215813997276,0.034278356,0.031985971144570025,0.02824302,0.026376175102094557,0.02392593,0.0223589735680213,0.020678475,0.01933421428580906,0.01814632,0.016973761581328684,0.016117675,0.01508133091334285,0.014457458,0.013531619865569167,0.013075135,0.012240591298589787,0.011907627,0.011149650748236484,0.010909578,0.010216638250231669,0.010047512,0.00941041873850701
0.1692640781402588,2.3052220344543457,38.73735809326172,5,FCC_face,0.169286,2.4643,40.0,5,FCC_face,0.23611,0.2379761605786236,0.58964735,0.6072547351083141,0.3743168,0.38527819749643544,0.1618403,0.16768388081586227,0.40704393,0.416302322347076,0.47804463,0.4844572367076192,0.18748663,0.1935121374880313,0.7987325,0.7653251634946079,0.19467296,0.19912259588769043,0.21027434,0.20547834998808667,0.062137727,0.06392811329738524,0.040226676,0.0415768190826894,0.030855974,0.03193539298983905,0.025345135,0.026249178118105898,0.021610266,0.022390160165910777,0.01886934,0.019555869666700976,0.01675281,0.017366111889566604
0.1799338161945343,1.29720938205719,28.894685745239258,15,FCC,0.18,1.3929,30.0,20,FCC,0.028446,0.029271849590433247,0.21648566,0.21037861194559393,0.14002238,0.13787990157114027,0.048599843,0.05091869136025262,0.027737834,0.029098978541442277,0.019911664,0.02086702786446748,0.015584808,0.01632010694254815,0.012781543,0.013377183605068454,0.010800967,0.011299617540756146,0.009322227,0.009749481645766833,0.008174743,0.008547245764753075,0.007258397,0.007587612062890936,0.0065101422,0.006804308465415021,0.0058881147,0.006153356773641927,0.005363348,0.005604342191087408,0.0049151233,0.005135520215508227,0.0045282124,0.00473091460085151
0.08464749902486801,2.452214002609253,36.335540771484375,10,FCC,0.083571,3.0,40.0,10,FCC,0.150063,0.1463596662501215,0.65227836,0.6403160306725446,0.24270365,0.2635844795438991,0.22886,0.24711572454406439,0.26278934,0.2748972412835472,0.23516782,0.2441544355978985,0.2550147,0.21951658393047824,0.046785783,0.05139862867177891,0.026544856,0.029622483102009656,0.019534485,0.021864341962988698,0.015662666,0.01755377647888956,0.013124574,0.014720756277359692,0.01130334,0.01268496884871928,0.009920986,0.011138347230554735,0.008830624,0.009917637692218761,0.007946083,0.008926888878994621,0.007212927,0.008105403049955662
0.07390151917934418,2.388582229614258,39.32378387451172,5,FCC,0.072857,2.4643,40.0,5,FCC,0.101164,0.10053697527643167,0.13386327,0.13599315459537598,0.8875436,0.8718211048849275,0.15328702,0.15538350402290502,0.35998237,0.35187033525618394,0.21185859,0.2042830543901144,0.042528898,0.0429920461627773,0.026370084,0.026737228326642493,0.019762266,0.020054027178553313,0.015939035,0.016180648419590105,0.013380839,0.01358681317053878,0.011525768,0.01170502182231481,0.010109695,0.010268117541941013,0.008989316,0.009131019238951876,0.008079058,0.008207032229959665,0.0073241713,0.007440670554800355,0.0066877743,0.006794538320884502
0.07302606105804443,2.2610020637512207,16.60989761352539,20,SC,0.072857,2.2857,16.6667,20,SC,0.548737,0.5527084530727957,0.28672615,0.28871945844669455,0.3519072,0.35723737709533365,0.6439808,0.6466219118255683,0.2961028,0.29857588263781554,0.61887425,0.6294788804256035,0.4900875,0.49040458467045556,0.35824627,0.3629324193768898,0.86820227,0.8742544806182373,0.39245272,0.39363599420487805,0.54676366,0.5575803446848834,0.69192904,0.6879030172552465,0.3926019,0.39689610510078444,0.91058874,0.92115682828865,0.46499056,0.4639663443814025,0.5824815,0.5961238587497818,0.73877126,0.7292213439241126
0.1167386919260025,1.7698782682418823,13.394338607788086,20,SC,0.115714,1.75,13.3333,20,SC,0.58033,0.5788530067136793,0.763875,0.7575387508116573,0.3348783,0.3317284960509004,0.36305103,0.36125500424314094,0.88220406,0.8779070393368953,0.43590716,0.4314495645647799,0.37686202,0.37508587955160455,0.87505436,0.8743472440302984,0.5446968,0.53860713870727,0.3958273,0.3938159281940494,0.82305646,0.8249742609189821,0.6477089,0.6400906175829943,0.41980937,0.41746092159452186,0.7861052,0.7896007649344567,0.7225859,0.7139782929302644,0.44475222,0.4421728845098575,0.7860251,0.7908062862986147
0.06277593970298767,1.5985883474349976,23.472427368164062,5,FCC,0.062143,1.5714,23.3333,5,FCC,0.318891,0.31670572550515375,0.122328274,0.120891332137406,0.18225771,0.17997729155054554,0.7631934,0.7592178924990997,0.500281,0.4987654622170242,0.19548897,0.1937628463483011,0.17086118,0.16899278842441678,0.42712384,0.42373968690007535,0.6970417,0.7012508798068184,0.22694743,0.22549286685776238,0.2081734,0.20612333077064182,0.6310561,0.6380901190373685,0.23418847,0.2337616133711129,0.2431969,0.24371964069409058,0.12770683,0.1277551688752656,0.06285968,0.06236796771150488,0.044283047,0.04386607998881065
0.08418107032775879,1.756824016571045,39.846961975097656,20,FCC,0.083571,1.75,40.0,20,FCC,0.032277,0.03404351698724453,0.27579775,0.28148965195437825,0.17342463,0.18115326069214555,0.048254542,0.050549779240182224,0.027444737,0.02806865994635166,0.019745305,0.020071858463506453,0.015478553,0.015692535833343624,0.0127075855,0.012864208940831734,0.010746079,0.010868428476051517,0.00927937,0.009379100738512447,0.008139861,0.00822361732598742,0.0072290087,0.007300919809454243,0.0064846594,0.006547455272543301,0.0058654845,0.00592106099038725,0.005342851,0.0053925763199969,0.004896256,0.0049411486529640225,0.0045106136,0.0045514520085853105
