t_over_L_pred,d_mm_pred,L_mm_pred,N_pred,lt_pred,t_over_L_true,d_mm_true,L_mm_true,N_true,lt_true,band_mean_target,band_mean_verified,alpha_500hz_target,alpha_500hz_verified,alpha_600hz_target,alpha_600hz_verified,alpha_700hz_target,alpha_700hz_verified,alpha_800hz_target,alpha_800hz_verified,alpha_900hz_target,alpha_900hz_verified,alpha_1000hz_target,alpha_1000hz_verified,alpha_1100hz_target,alpha_1100hz_verified,alpha_1200hz_target,alpha_1200hz_verified,alpha_1300hz_target,alpha_1300hz_verified,alpha_1400hz_target,alpha_1400hz_verified,alpha_1500hz_target,alpha_1500hz_verified,alpha_1600hz_target,alpha_1600hz_verified,alpha_1700hz_target,alpha_1700hz_verified,alpha_1800hz_target,alpha_1800hz_verified,alpha_1900hz_target,alpha_1900hz_verified,alpha_2000hz_target,alpha_2000hz_verified
0.030882421880960464,1.7300574779510498,36.44089126586914,20,SC,0.03,1.75,36.6667,20,SC,0.183439,0.18279216923727656,0.71326685,0.7167342741320524,0.55488986,0.5569055427318947,0.54257005,0.5362269337428338,0.48383078,0.4811640252854231,0.35613227,0.3484513575909426,0.11044569,0.10822926375087094,0.05970748,0.05947239785277314,0.043210424,0.043193956789798094,0.03430252,0.03434156293282087,0.02853309,0.028589646770580512,0.024426723,0.024488348303482566,0.021329228,0.021391142088138193,0.018898394,0.01895864475539155,0.016934885,0.0169926974950938,0.015313444,0.015368577372046,0.0139508145,0.014003271971645637
0.062054090201854706,1.134318470954895,34.92797088623047,5,SC,0.062143,1.0357,33.3333,5,SC,0.052521,0.05201483933955304,0.32828382,0.3413683988006069,0.21836723,0.2189603743903542,0.09511484,0.08858324085388047,0.059088893,0.05500226997889923,0.04338764,0.04044215813997276,0.034278356,0.031985971144570025,0.02824302,0.026376175102094557,0.02392593,0.0223589735680213,0.020678475,0.01933421428580906,0.01814632,0.016973761581328684,0.016117675,0.01508133091334285,0.014457458,0.013531619865569167,0.013075135,0.012240591298589787,0.011907627,0.011149650748236484,0.010909578,0.010216638250231669,0.010047512,0.00941041873850701
0.16927321255207062,2.3786909580230713,39.33079528808594,5,FCC_face,0.169286,2.4643,40.0,5,FCC_face,0.23611,0.23708274309047098,0.58964735,0.6004791345720746,0.3743168,0.3794820020433066,0.1618403,0.16490419123057454,0.40704393,0.41339848542714497,0.47804463,0.47998038279324684,0.18748663,0.19074273405558528,0.7987325,0.7820057043320809,0.19467296,0.1969089914830634,0.21027434,0.20651232230385452,0.062137727,0.06297261312367719,0.040226676,0.0408977322166153,0.030855974,0.03140142517612177,0.025345135,0.025805388799336137,0.021610266,0.022008998990216244,0.01886934,0.019221297021575712,0.01675281,0.017067823233844925
0.17997866868972778,1.2957558631896973,28.874237060546875,15,FCC,0.18,1.3929,30.0,20,FCC,0.028446,0.029285822786330146,0.21648566,0.2103266714245785,0.14002238,0.13791109311237915,0.048599843,0.05098578936562714,0.027737834,0.029130067521097702,0.019911664,0.020887283824227,0.015584808,0.01633514869119712,0.012781543,0.013389117184597898,0.010800967,0.011309473793146285,0.009322227,0.0097578475348844,0.008174743,0.008554489431171541,0.007258397,0.007593980414326351,0.0065101422,0.006809975466944951,0.0058881147,0.006158449722905135,0.005363348,0.0056089570754941365,0.0049151233,0.0051397312040729615,0.0045282124,0.00473478018009188
0.08463959395885468,2.4713525772094727,36.46675491333008,10,FCC,0.083571,3.0,40.0,10,FCC,0.150063,0.1466027705115619,0.65227836,0.6402134854445694,0.24270365,0.26256935339498544,0.22886,0.24652558437309535,0.26278934,0.27480480075058855,0.23516782,0.2440146807313135,0.2550147,0.22082758989471485,0.046785783,0.051258415038043514,0.026544856,0.029509118109981802,0.019534485,0.021775608442875072,0.015662666,0.017480767198970848,0.013124574,0.014658682015425861,0.01130334,0.012630995447396653,0.009920986,0.011090645892192774,0.008830624,0.009874950876010091,0.007946083,0.008888309957704621,0.007212927,0.00807025423136054
0.07387930154800415,2.4292678833007812,39.64223098754883,5,FCC,0.072857,2.4643,40.0,5,FCC,0.101164,0.10058986354585668,0.13386327,0.13476267502209738,0.8875436,0.8796560344739512,0.15328702,0.1541538662596852,0.35998237,0.3517532035936459,0.21185859,0.2057154044792936,0.042528898,0.04256583535364444,0.026370084,0.026468382399107204,0.019762266,0.019852209829938516,0.015939035,0.0160177568020351,0.013380839,0.013449967615967284,0.011525768,0.011587053203569786,0.010109695,0.010164550767094771,0.008989316,0.00903884196904492,0.008079058,0.008124105450515007,0.0073241713,0.007365413599180526,0.0066877743,0.0067257464270382705
0.07338790595531464,2.2766036987304688,16.649559020996094,20,SC,0.072857,2.2857,16.6667,20,SC,0.548737,0.5506116360212312,0.28672615,0.2870704757262339,0.3519072,0.35570443679630903,0.6439808,0.6429122403401927,0.2961028,0.2970497509447084,0.61887425,0.627657883896384,0.4900875,0.48748024258641665,0.35824627,0.36153176844885404,0.86820227,0.8712371413360724,0.39245272,0.39150179249383943,0.54676366,0.5565508641287913,0.69192904,0.6840717726510336,0.3926019,0.39535892692010377,0.91058874,0.9199179066469778,0.46499056,0.46147390463849436,0.5824815,0.5954643537082253,0.73877126,0.7256308557088442
0.1167001873254776,1.7666375637054443,13.384952545166016,20,SC,0.115714,1.75,13.3333,20,SC,0.58033,0.5794059108553735,0.763875,0.7585078835096081,0.3348783,0.3321624599231401,0.36305103,0.36176148108698347,0.88220406,0.8788116585604558,0.43590716,0.43194898127839154,0.37686202,0.37556592993803695,0.87505436,0.8751100010206081,0.5446968,0.5391419193137361,0.3958273,0.3942881867197534,0.82305646,0.8256261043596531,0.6477089,0.6405999534751422,0.41980937,0.4179332426891631,0.7861052,0.7901868591099047,0.7225859,0.7143921303636815,0.44475222,0.4426449375590925,0.7860251,0.7913477223922212
0.06277593970298767,1.5985883474349976,23.472427368164062,5,FCC,0.062143,1.5714,23.3333,5,FCC,0.318891,0.31670572550515375,0.122328274,0.120891332137406,0.18225771,0.17997729155054554,0.7631934,0.7592178924990997,0.500281,0.4987654622170242,0.19548897,0.1937628463483011,0.17086118,0.16899278842441678,0.42712384,0.42373968690007535,0.6970417,0.7012508798068184,0.22694743,0.22549286685776238,0.2081734,0.20612333077064182,0.6310561,0.6380901190373685,0.23418847,0.2337616133711129,0.2431969,0.24371964069409058,0.12770683,0.1277551688752656,0.06285968,0.06236796771150488,0.044283047,0.04386607998881065
0.08449702709913254,1.6520678997039795,38.627925872802734,15,FCC,0.083571,1.75,40.0,20,FCC,0.032277,0.033896985947005805,0.27579775,0.2717937251201228,0.17342463,0.1768406678769341,0.048254542,0.052061010268513286,0.027444737,0.029043253832457316,0.019745305,0.020779457602441376,0.015478553,0.016247497832580726,0.0127075855,0.013319384192660988,0.010746079,0.011252925922571877,0.00927937,0.009710820251002561,0.008139861,0.008514412538901173,0.0072290087,0.0075590695749883086,0.0064846594,0.006778978892362342,0.0058654845,0.006130475072260166,0.005342851,0.005583357283103996,0.004896256,0.005116029149247359,0.0045106136,0.0047126184061264675
0.1691109985113144,2.0929694175720215,39.79179000854492,20,FCC,0.169286,2.1071,40.0,5,FCC,0.015971,0.017437747825368742,0.1920371,0.19720996365849652,0.048791535,0.05074608137769432,0.022951417,0.023353789682475257,0.01572528,0.01594420454661627,0.012019017,0.01216911476445226,0.009704372,0.00981821971900887,0.008106437,0.008197802268483767,0.0069330474,0.0070090656467476364,0.006034156,0.00609901763273335,0.0053238,0.005380183356475721,0.0047488213,0.0047985463023872965,0.004274435,0.0043187950617831206,0.0038768589,0.003916807294944813,0.0035392554,0.0035755152831646875,0.0032493575,0.0032824907373153467,0.0029980128,0.003028463904876544
